
> data-vis@1.0.0 as1 /Users/saman/Projects/GitHub/data-vis
> node ./assignment-1/main.js

28 258 -0 -2
28 282 -0 -2
28 306 -0 -1
28 332 -0 -0
28 359 -0 1
28 387 -0 4
28 417 -0 7
28 448 -0 11
28 479 -0 15
28 513 -0 20
28 547 -0 26
28 582 -0 32
28 618 -0 39
28 656 -0 45
28 694 -0 51
28 733 -0 57
28 773 -0 61
28 813 -0 65
28 854 -0 68
28 895 -0 70
28 937 -0 71
28 979 0 70
28 1020 0 69
28 1062 0 66
28 1104 0 63
28 1145 0 59
28 1186 0 55
28 1226 0 50
28 1266 0 46
28 1305 0 41
28 1343 0 36
28 1381 0 31
28 1417 0 27
28 1452 0 23
28 1486 0 20
28 1520 0 17
28 1551 0 14
28 1582 0 12
28 1612 0 10
28 1640 0 9
28 1667 0 8
28 1693 0 8
28 1717 -0 8
28 1741 -0 9
28 1763 -0 11
28 1784 -1 15
28 1804 -1 21
28 1823 -2 30
28 1841 -3 42
28 1858 -5 59
28 1874 -7 80
28 1889 -11 109
28 1903 -16 146
28 1916 -25 195
28 1928 -39 262
28 1940 -65 349
28 1951 -106 455
28 1961 -150 544
28 1971 -110 522
28 1980 253 323
28 1988 1082 97
28 1996 1804 6
28 2000 2000 0
38 0 0 0
38 3 -0 -0
38 11 -0 -0
38 19 -0 -0
38 28 0 -0
38 38 0 -0
38 48 0 -0
38 59 0 -0
38 71 0 -0
38 83 0 -0
38 96 0 -1
38 110 0 -1
38 125 0 -1
38 141 0 -2
38 158 0 -3
38 176 0 -3
38 195 0 -4
38 215 0 -4
38 236 -0 -4
38 258 -0 -3
38 282 -0 -3
38 306 -0 -1
38 332 -0 0
38 359 -0 3
38 387 -1 7
38 417 -1 12
38 448 -1 18
38 479 -1 25
38 513 -2 33
38 547 -2 42
38 582 -2 52
38 618 -2 62
38 656 -2 72
38 694 -2 81
38 733 -1 90
38 773 -1 97
38 813 -1 104
38 854 -0 109
38 895 -0 112
38 937 -0 113
38 979 0 113
38 1020 0 111
38 1062 0 107
38 1104 1 102
38 1145 1 96
38 1186 1 90
38 1226 1 82
38 1266 1 75
38 1305 1 67
38 1343 1 60
38 1381 1 52
38 1417 1 45
38 1452 1 39
38 1486 1 33
38 1520 1 28
38 1551 0 24
38 1582 0 21
38 1612 0 18
38 1640 0 15
38 1667 0 14
38 1693 0 13
38 1717 -0 14
38 1741 -0 16
38 1763 -1 20
38 1784 -2 26
38 1804 -4 35
38 1823 -6 48
38 1841 -9 66
38 1858 -13 91
38 1874 -18 122
38 1889 -26 162
38 1903 -38 213
38 1916 -55 275
38 1928 -82 350
38 1940 -121 432
38 1951 -161 497
38 1961 -146 491
38 1971 66 366
38 1980 628 173
38 1988 1383 40
38 1996 1873 2
38 2000 2000 0
48 0 0 0
48 3 0 -0
48 11 0 -0
48 19 0 -0
48 28 0 -0
48 38 0 -0
48 48 0 -0
48 59 0 -0
48 71 0 -0
48 83 0 -0
48 96 0 -1
48 110 0 -2
48 125 0 -2
48 141 0 -3
48 158 0 -4
48 176 0 -4
48 195 0 -5
48 215 0 -5
48 236 -0 -5
48 258 -0 -5
48 282 -0 -3
48 306 -1 -1
48 332 -1 1
48 359 -2 5
48 387 -2 11
48 417 -3 18
48 448 -3 26
48 479 -4 36
48 513 -4 48
48 547 -4 61
48 582 -4 74
48 618 -4 88
48 656 -4 102
48 694 -4 115
48 733 -3 128
48 773 -3 139
48 813 -2 148
48 854 -1 155
48 895 -1 160
48 937 -0 162
48 979 0 162
48 1020 1 160
48 1062 1 155
48 1104 2 149
48 1145 2 141
48 1186 3 132
48 1226 3 122
48 1266 3 111
48 1305 3 100
48 1343 3 89
48 1381 3 79
48 1417 3 69
48 1452 3 60
48 1486 2 51
48 1520 2 44
48 1551 2 38
48 1582 1 32
48 1612 1 28
48 1640 1 25
48 1667 0 22
48 1693 0 22
48 1717 -0 22
48 1741 -1 25
48 1763 -3 30
48 1784 -5 38
48 1804 -8 51
48 1823 -12 69
48 1841 -18 92
48 1858 -26 124
48 1874 -36 163
48 1889 -50 211
48 1903 -69 268
48 1916 -95 332
48 1928 -130 398
48 1940 -165 448
48 1951 -166 453
48 1961 -44 378
48 1971 319 235
48 1980 929 94
48 1988 1552 19
48 1996 1909 1
48 2000 2000 0
59 0 0 0
59 3 0 -0
59 11 0 -0
59 19 0 -0
59 28 0 -0
59 38 0 -0
59 48 0 -0
59 59 0 -0
59 71 0 -0
59 83 0 -1
59 96 0 -1
59 110 0 -2
59 125 1 -3
59 141 0 -4
59 158 0 -5
59 176 0 -6
59 195 0 -6
59 215 0 -7
59 236 -0 -7
59 258 -0 -6
59 282 -1 -4
59 306 -2 -1
59 332 -2 2
59 359 -3 8
59 387 -4 15
59 417 -5 25
59 448 -6 36
59 479 -7 49
59 513 -8 64
59 547 -8 81
59 582 -9 99
59 618 -9 117
59 656 -8 135
59 694 -8 153
59 733 -7 169
59 773 -6 184
59 813 -4 196
59 854 -3 206
59 895 -2 213
59 937 -0 217
59 979 0 217
59 1020 2 215
59 1062 3 210
59 1104 4 202
59 1145 5 192
59 1186 5 181
59 1226 6 168
59 1266 6 154
59 1305 6 140
59 1343 6 125
59 1381 6 111
59 1417 6 98
59 1452 5 86
59 1486 5 74
59 1520 4 64
59 1551 4 55
59 1582 3 48
59 1612 2 42
59 1640 2 37
59 1667 1 34
59 1693 0 32
59 1717 -1 33
59 1741 -3 36
59 1763 -6 43
59 1784 -10 53
59 1804 -15 69
59 1823 -22 90
59 1841 -32 118
59 1858 -44 154
59 1874 -61 197
59 1889 -81 248
59 1903 -107 303
59 1916 -138 357
59 1928 -168 400
59 1940 -176 412
59 1951 -109 371
59 1961 118 272
59 1971 563 149
59 1980 1143 53
59 1988 1653 10
59 1996 1930 0
59 2000 2000 0
71 0 0 0
71 3 0 -0
71 11 0 -0
71 19 0 -0
71 28 0 -0
71 38 0 -0
71 48 0 -0
71 59 0 -0
71 71 1 -1
71 83 1 -1
71 96 1 -2
